date,Explanation of comps +/- 2% ,explanation_of_sales_variance_plus_minus_2percent,CATERING SALES,TOTAL NET SALES (EXC CATERING),TOTAL NET SALES (INC CATERING),VARIANCE TO 2021,VARIANCE TO 2022,bar_covers,bar_sales,comp_percent,comps_excluding_employee_comps,dinner_covers,dinner_ppa,dinner_sales,labor_dollar,labor_percent,lunch_covers,lunch_ppa,lunch_sales,takeout_sales,total_covers,total_net_sales
2023-05-11,,Slow Lunch today. Dinner started popping in the patio with a full bar later in the evening,,,,,,,,,,,,,,,,,,,,
2023-05-12,,Lively lunch with mild weather lead into an offsite on Gulfshore and a Wine Dinner in the MDR. ,,,,,,,,,,,,,,,,,,,,
2023-05-13,,"buzzling HH at the bar and Steady Dinner, Lite Rain on and off",,,,,,,,,,,,,,,,,,,,
2023-05-14,,"Mother's day Brunch Warm and successful, Rain on and off tonight, over 50 Walkins for Dinner",,,,,,,,,,,,,,,,,,,,
2023-05-15,,Very quiet lunch and HH followed by a very soft dinner. CATERING offsite,,,,,,,,,,,,,,,,,,,,
2023-05-16,,Soft Lunch and Dinner about 24 walk ins for dinner,,,,,,,,,,,,,,,,,,,,
2023-05-17,,"Lunch on par to past few days, Handful of Anniversaries Celebrations tonight",,,,,,,,,,,,,,,,,,,,
2023-05-18,,"Wine Lunch w/ Marcello, Soft Dinner ",,,,,,,,,,,,,,,,,,,,
2023-05-19,,"Quiet lunch steady HH, Dinner Pop  late",,,,,,,,,,,,,,,,,,,,
2023-05-20,,Full bar all day. Light rain 8pm. 50% return business tonight,,,,,,,,,,,,,,,,,,,,
2023-05-21,,"Full Bar by 1pm Light rain during Dinner, Somm Wine Selection well received",,,,,,,,,,,,,,,,,,,,
2023-05-22,,Wine Dinner & Full Bar HH. Still having good lunches despite fall off in covers. ,,,,,,,,,,,,,,,,,,,,
2023-05-23,,"Up against 8k external sales from PY. Without that event it was a ""normal"" day with 8.5K in sales which was on par for rest of week.  ",,,,,,,,,,,,,,,,,,,,
2023-05-24,,"Very soft Lunch.  Bar full for HH, Over half the covers were walkins this evening. Ferrai offsite event",,,,,,,,,,,,,,,,,,,,
2023-05-25,,$800 ($400 of wine) lunch table today with Elliot. One hit wonder. Rain threatened all evening. ,,,,,,,,,,,,,,,,,,,,
2023-05-26,,Summer rain pattern is here to stay. Busy HH and steady Dinner,,,,,,,,,,,,,,,,,,,,
2023-05-27,,"Full bar all evening, Steady Dinner",,,,,,,,,,,,,,,,,,,,
2023-05-28,,Last of Live Music for season till Oct. Full patio and bar during brunch,,,,,,,,,,,,,,,,,,,,
2023-05-29,,"Full Bar all day. Many walk-ins, east coast visitors and families",,,,,,,,,,,,,,,,,,,,
2023-05-30,,"Soft Lunch Rainy aftenoon, push at 6 pm with a handful of Walk-ins ",,,,,,,,,,,,,,,,,,,,
2023-05-31,,Private event for HH full bar and Downpour this evening,,,,,,,,,,,,,,,,,,,,
2023-06-01,,"Good handfull of walkins, strong rain at the end of the evening",,,,,,,,,,,,,,,,,,,,
2023-06-02,,"Quiet lunch, steady HH. Rain came about 7pm, moved patio  seating to indoors",,,,,,,,,,,,,,,,,,,,
2023-06-03,,Light rain day off and on.Hopping HH 3:30pm Offsite catering tonight,,,,,,,,,,,,,,,,,,,,
2023-06-04,,"Steady Lunch, Great wine sales from FOH",,,,,,,,,,,,,,,,,,,,
2023-06-05,,Incredibly quiet day. Light rain off and on from 6-9pm. 2 small catering events. ,,,,,,,,,,,,,,,,,,,,
