date,Explanation of comps +/- 2% ,explanation_of_sales_variance_plus_minus_2percent,CATERING SALES,TOTAL NET SALES (EXC CATERING),TOTAL NET SALES (INC CATERING),VARIANCE TO 2021,VARIANCE TO 2022,bar_covers,bar_sales,comp_percent,comps_excluding_employee_comps,dinner_covers,dinner_ppa,dinner_sales,labor_dollar,labor_percent,lunch_covers,lunch_ppa,lunch_sales,takeout_sales,total_covers,total_net_sales
2022-09-14,,,,,,,,,,,,,,,,,,,,,,10914.5
2022-09-15,,,,,,,,,,,,,,,,,,,,,,15116.6
2022-09-16,,,,,,,,,,,,,,,,,,,,,,20629.02
2022-09-17,,,,,,,,,,,,,,,,,,,,,,11549.0
2022-09-18,,,,,,,,,,,,,,,,,,,,,,8893.25
2022-09-19,,,,,,,,,,,,,,,,,,,,,,10269.01
2022-09-20,,,,,,,,,,,,,,,,,,,,,,9056.5
2022-09-21,,,,,,,,,,,,,,,,,,,,,,7641.25
2022-09-22,,,,,,,,,,,,,,,,,,,,,,15749.2
2022-09-23,,,,,,,,,,,,,,,,,,,,,,19101.75
2022-09-24,,,,,,,,,,,,,,,,,,,,,,11542.0
2022-09-25,,,,,,,,,,,,,,,,,,,,,,5885.0
2022-09-26,,,,,,,,,,,,,,,,,,,,,,2723.9
2022-09-27,,,,,,,,,,,,,,,,,,,,,,0.01
2022-09-28,,,,,,,,,,,,,,,,,,,,,,0.01
2022-09-29,,,,,,,,,,,,,,,,,,,,,,0.01
2022-09-30,,,,,,,,,,,,,,,,,,,,,,0.01
2022-10-01,,,,,,,,,,,,,,,,,,,,,,0.01
2022-10-02,,,,,,,,,,,,,,,,,,,,,,0.01
2022-10-03,,,,,,,,,,,,,,,,,,,,,,5901.75
2022-10-04,,,,,,,,,,,,,,,,,,,,,,6782.75
2022-10-05,,,,,,,,,,,,,,,,,,,,,,5678.8
2022-10-06,,,,,,,,,,,,,,,,,,,,,,13574.01
2022-10-07,,,,,,,,,,,,,,,,,,,,,,13894.26
2022-10-08,,,,,,,,,,,,,,,,,,,,,,11535.75
2022-10-09,,,,,,,,,,,,,,,,,,,,,,6816.25
2022-10-10,,,,,,,,,,,,,,,,,,,,,,8076.65
2022-10-11,,,,,,,,,,,,,,,,,,,,,,7633.27
2022-10-12,,,,,,,,,,,,,,,,,,,,,,7089.75
2022-10-13,,,,,,,,,,,,,,,,,,,,,,12804.85
2022-10-14,,,,,,,,,,,,,,,,,,,,,,14667.9
2022-10-15,,,,,,,,,,,,,,,,,,,,,,11718.5
2022-10-16,,,,,,,,,,,,,,,,,,,,,,7802.0
2022-10-17,,,,,,,,,,,,,,,,,,,,,,6243.01
2022-10-18,,,,,,,,,,,,,,,,,,,,,,6272.25
2022-10-19,,,,,,,,,,,,,,,,,,,,,,12154.05
2022-10-20,,,,,,,,,,,,,,,,,,,,,,14392.51
2022-10-21,,,,,,,,,,,,,,,,,,,,,,21942.01
2022-10-22,,,,,,,,,,,,,,,,,,,,,,15224.0
2022-10-23,,,,,,,,,,,,,,,,,,,,,,8441.0
2022-10-24,,,,,,,,,,,,,,,,,,,,,,9369.75
2022-10-25,,,,,,,,,,,,,,,,,,,,,,10146.25
2022-10-26,,,,,,,,,,,,,,,,,,,,,,10994.0
2022-10-27,,,,,,,,,,,,,,,,,,,,,,20453.33
2022-10-28,,,,,,,,,,,,,,,,,,,,,,19960.83
2022-10-29,,,,,,,,,,,,,,,,,,,,,,15288.5
2022-10-30,,,,,,,,,,,,,,,,,,,,,,12711.75
2022-10-31,,,,,,,,,,,,,,,,,,,,,,7971.26
2022-11-01,,,,,,,,,,,,,,,,,,,,,,14073.5
2022-11-02,,,,,,,,,,,,,,,,,,,,,,12563.0
2022-11-03,,,,,,,,,,,,,,,,,,,,,,30465.76
2022-11-04,,,,,,,,,,,,,,,,,,,,,,23687.76
2022-11-05,,,,,,,,,,,,,,,,,,,,,,13345.7
2023-01-02,,,,,,0.20631732087401727,,117.0,4225.0,0.020749550452176305,671.0,279.0,70.09408602150538,19556.25,4137.1,0.12793288401743458,223.0,38.37130044843049,8556.8,0.0,619.0,32338.05
2023-01-03,,,,,,0.061823892181760653,,82.0,2827.01,0.009987707751484547,244.0,238.0,83.1303781512605,19785.03,4359.91,0.17846519222448765,91.0,51.043956043956044,4645.0,36.0,411.0,24430.03
2023-01-04,,,,,,-0.06902917536225825,,77.0,2640.75,0.006351694895561095,123.0,195.0,80.60774358974359,15718.51,3827.71,0.19766216316006632,80.0,45.58,3646.4,55.0,352.0,19364.91
2023-01-05,,,,,,0.009341596606765881,,93.0,3089.5,0.0068209600706750076,166.0,231.0,87.20995670995671,20145.5,4460.56,0.18328494971596457,74.0,56.638513513513516,4191.25,224.0,398.0,24336.75
2023-01-06,,,,,,0.04832851117011006,,162.0,5025.51,0.011608666440909179,386.0,337.0,80.06528189910979,26982.0,5704.84,0.17156887217294384,114.0,54.99140350877193,6269.02,169.0,613.0,33251.020000000004
2023-01-07,,,,,,0.37140500499742074,,174.0,5062.0,0.01157797430542818,570.0,461.0,72.68253796095445,33506.65,5145.19,0.10451031160797546,453.0,34.712494481236206,15724.76,129.0,1088.0,49231.41
2023-01-08,,,,,,0.021867430038004034,,125.0,3802.75,0.008423470261092803,218.0,134.0,78.355,10499.57,5283.55,0.20415516650457283,276.0,55.72644927536232,15380.5,146.0,535.0,25880.07
2023-01-09,,,,,,-0.11292176749592248,,71.0,2060.0,0.03294754345313925,389.75,129.0,70.85271317829458,9140.0,3413.36,0.28854862584017293,69.0,38.976956521739126,2689.41,56.0,269.0,11829.41
2023-01-10,,,,,,-0.1518610825804343,,59.0,1660.25,0.010463869325600289,157.0,113.0,80.31424778761063,9075.51,3628.04,0.24180469087930492,134.0,44.242537313432834,5928.5,103.0,306.0,15004.01
2023-01-11,,,,,,0.14011668899294463,,77.0,3064.0,0.014990544954443871,327.0,197.0,74.49111675126903,14674.75,3810.51,0.1746838576585869,133.0,53.67669172932331,7139.0,15.0,407.0,21813.75
2023-01-12,,,,,,-0.1466685412092963,,85.0,2854.5,0.012572080349787719,248.0,182.0,81.55906593406593,14843.75,4366.8,0.2213700019010202,100.0,48.825,4882.5,0.0,367.0,19726.25
2023-01-13,,,,,,-0.05243815113073435,,119.0,3355.5,0.016128180297561405,458.0,286.0,76.77097902097903,21956.5,5074.51,0.17869565982921032,95.0,67.8,6441.0,16.0,500.0,28397.5
2023-01-14,,,,,,0.14958472410627793,,205.0,5438.0,0.01440262650227063,601.0,465.0,59.59569892473118,27712.0,4761.3,0.11410187282073403,344.0,40.74563953488372,14016.5,77.0,1014.0,41728.5
2023-01-15,,,,,,0.43108858508391695,,122.0,3838.5,0.009102556296048682,293.0,216.0,74.68407407407408,16131.76,5618.11,0.17453639096380225,292.0,54.98972602739726,16057.0,0.0,630.0,32188.760000000002
2023-01-16,,,,,,,0.1822082863753006,92.0,3268.2,0.013422710581368633,333.0,263.0,61.91634980988593,16284.0,3582.56,0.14440740546663064,230.0,37.063913043478266,8524.7,265.0,585.0,24808.7
2023-01-17,,,,,,,-0.1333638036160637,76.0,2182.75,0.0,,167.0,78.59736526946108,13125.76,4169.03,0.2138813046819609,83.0,76.70481927710843,6366.5,80.0,326.0,19492.260000000002
2023-01-18,,,,,,,-0.04754168264253444,97.0,2710.0,0.032750576021749744,624.0,163.0,82.31349693251533,13417.1,3723.11,0.19540704662233443,97.0,58.103092783505154,5636.0,172.5,357.0,19053.1
2023-01-19,,,,,,,0.5076266150155173,88.0,2672.0,0.007474889044615744,256.0,174.0,168.04597701149424,29240.0,3926.05,0.11463589114692829,101.0,49.584158415841586,5008.0,47.0,363.0,34248.0
2023-01-20,,,,,,,-0.21213151156730792,116.0,3931.5,0.008397802766673377,219.0,247.0,81.65384615384616,20168.5,4815.01,0.18463700593406385,107.0,55.231308411214954,5909.75,22.5,470.0,26078.25
2023-01-21,,,,,,,0.0947826766396034,144.0,4165.5,0.006488256903829758,250.0,415.0,68.28253012048192,28337.25,4177.64,0.10842240628686141,214.0,47.63504672897196,10193.9,0.0,773.0,38531.15
2023-01-22,,,,,,,-0.04355190511894218,120.0,3947.75,0.009549566884382538,268.0,188.0,77.5186170212766,14573.5,4919.36,0.17529013935953763,237.0,56.92236286919832,13490.6,37.0,545.0,28064.1
2023-01-23,,,,,,,-0.33941530919058605,66.0,2486.75,0.025518691161685404,349.0,142.0,62.91901408450704,8934.5,3030.0,0.2215519605154922,119.0,39.846638655462186,4741.75,190.0,327.0,13676.25
2023-01-24,,,,,,,-0.02173734046932894,78.0,2571.25,0.010340639917274881,215.0,172.0,83.81686046511628,14416.5,3867.8,0.18602570731179435,107.0,59.58177570093458,6375.25,14.0,357.0,20791.75
2023-01-25,,,,,,,-0.30669145329913455,59.0,1385.5,0.014535768130835434,215.0,144.0,77.21597222222222,11119.1,3874.52,0.2619494155269047,85.0,43.2,3672.0,50.5,288.0,14791.1
2023-01-26,,,,,,,-0.19931052574980165,93.0,2735.9,0.021258048759205762,497.0,233.0,64.15442060085837,14947.98,3494.55,0.14947145732692657,201.0,41.94726368159204,8431.4,35.0,527.0,23379.379999999997
2023-01-27,,,,,,,-0.2620797202225131,126.0,4338.0,0.005716249530574659,165.0,241.0,85.33609958506224,20566.0,4895.91,0.16961359538930776,159.0,52.19547169811321,8299.08,13.5,526.0,28865.08
2023-01-28,,,,,,,-0.13713731358707668,195.0,4794.0,0.009025397468476293,315.0,341.0,79.56674486803519,27132.26,5963.48,0.17086595966764764,157.0,49.48566878980892,7769.25,204.0,693.0,34901.509999999995
2023-01-29,,,,,,,-0.17207005776038756,93.0,2751.5,0.0077866546641161246,173.0,146.0,76.16780821917808,11120.5,4681.82,0.21072667941937662,233.0,47.62660944206009,11097.0,12.0,472.0,22217.5
2023-01-30,,,,,,,-0.35648113466676656,76.0,1637.0,0.024290869582088395,313.0,146.0,58.9486301369863,8606.5,2966.7,0.23023553606767294,113.0,37.86725663716814,4279.0,80.0,335.0,12885.5
2023-01-31,,,,,,,-0.15520956436692615,75.0,2391.75,0.009527111566697319,158.0,128.0,84.810546875,10855.75,3600.28,0.2170903115908166,129.0,44.406976744186046,5728.5,107.0,332.0,16584.25
2023-02-01,,,,,,,-0.22758551909843425,78.0,2332.0,0.006743982292723417,117.0,148.0,88.0608108108108,13033.0,3554.76,0.20489947431522643,92.0,46.910869565217396,4315.8,0.0,318.0,17348.8
2023-02-02,,,,,,,-0.21565811051751343,81.0,2610.5,0.012951186976286376,250.0,175.0,80.56857142857143,14099.5,3565.79,0.1847248520326888,110.0,47.30681818181818,5203.75,22.5,366.0,19303.25
2023-02-03,,,,,,,-0.07814145629042368,151.0,3958.26,0.009294322526872815,308.0,301.0,84.00252491694351,25284.76,5026.63,0.15168545598459318,166.0,47.31174698795181,7853.75,19.0,618.0,33138.509999999995
2023-02-04,,,,,,,0.22998272022715044,293.0,6927.5,0.0047572482712727815,335.0,293.0,105.70395904436859,30971.26,5431.9,0.07713700562604961,604.0,65.31059602649006,39447.6,0.0,693.0,70418.86
2023-02-05,,,,,,,0.5427506966568457,138.0,4381.5,0.009957786026017355,481.0,225.0,155.39004444444444,34962.76,4637.02,0.09599678369722037,300.0,44.4705,13341.15,53.0,663.0,48303.91
2023-02-06,,,,,,,-0.17764058384534878,91.0,2927.5,0.01547064528875744,323.0,211.0,66.14454976303317,13956.5,2816.25,0.13488917893022642,159.0,43.533018867924525,6921.75,232.0,461.0,20878.25
2023-02-07,,,,,,,-0.36101233848246383,77.0,2293.0,0.01550835474601268,306.0,178.0,79.83595505617977,14210.8,3899.43,0.1976266135530857,127.0,43.468503937007874,5520.5,57.0,382.0,19731.3
2023-02-08,,,,,,,-0.052857661558331215,93.0,2182.0,0.009339743793846382,220.0,228.0,77.0844298245614,17575.25,3652.91,0.15507837955445175,121.0,49.421487603305785,5980.0,67.0,442.0,23555.25
2023-02-09,,,,,,,-0.15334065935999616,147.0,4085.26,0.016349683709826368,472.0,258.0,85.89848837209303,22161.81,3922.65,0.13587730255158983,111.0,60.42567567567568,6707.25,0.0,516.0,28869.06
2023-02-10,,,,,,,-0.04762409393412742,139.0,4468.0,0.013679017840584548,461.0,317.0,85.94321766561514,27244.0,4995.74,0.14823604465709728,131.0,49.291984732824424,6457.25,34.0,587.0,33701.25
2023-02-11,,,,,,,-0.01903957185872717,146.0,5055.5,0.010699179603875836,454.0,460.0,73.71339130434784,33908.16,4543.74,0.10707993465487839,213.0,40.02347417840375,8525.0,165.5,693.0,42433.16
2023-02-12,,,,,,,-0.09087008891139932,98.0,3753.0,0.0132020741301144,282.0,105.0,64.27152380952381,6748.51,4139.64,0.19380083032619425,292.0,50.04030821917809,14611.77,117.0,495.0,21360.28
2023-02-13,,,,,,,-0.5361641282746906,105.0,2991.5,0.011804478021626373,332.0,263.0,77.45091254752852,20369.59,3862.73,0.13734190177252062,179.0,43.32586592178771,7755.33,9.5,442.0,28124.92
2023-02-14,,,,,,,1.140520196939024,131.0,4493.4,0.007507393517323521,445.0,317.0,164.94132492113565,52286.4,5233.04,0.08828424847616782,129.0,54.174418604651166,6988.5,81.0,1.0,59274.9
2023-02-15,,,,,,,-0.28877535512192015,92.0,2794.0,0.00621187461952268,125.0,206.0,77.64805825242719,15995.5,3469.89,0.1724361729882844,95.0,43.444736842105264,4127.25,39.0,301.0,20122.75
2023-02-16,,,,,,,-0.12706731701014276,122.0,3912.0,0.01683672997400483,455.0,245.0,81.94285714285714,20076.0,4136.16,0.15305364626215343,165.0,42.11060606060606,6948.25,44.0,410.0,27024.25
2023-02-17,,,,,,,0.004184763098062317,163.0,4263.28,0.00940930334758209,349.0,352.0,83.53502840909091,29404.33,4962.24,0.1337857347951454,183.0,42.00338797814208,7686.62,32.0,535.0,37090.950000000004
2023-02-18,,,,,,,-0.115803189166466,237.0,5639.25,0.014355397641052745,622.0,411.0,81.6116788321168,33542.4,4900.73,0.11310599337851512,190.0,51.50657894736842,9786.25,29.0,601.0,43328.65
2023-02-19,,,,,,,-0.014351891323500156,132.0,3975.25,0.01360936508851854,472.0,279.0,78.88082437275986,22007.75,4777.17,0.13774205639813158,274.0,46.25638686131387,12674.25,117.0,685.0,34682.0
2023-02-20,,,,,,,-0.21498325790190234,122.0,3232.5,0.015336733163341833,409.0,243.0,84.2119341563786,20463.5,3832.29,0.1437036898155092,149.0,41.64093959731544,6204.5,19.5,392.0,26668.0
2023-02-21,,,,,,,-0.02006671144233628,108.0,3453.0,0.01601436679819756,486.0,281.0,78.41370106761566,22034.25,4212.75,0.13881589244672174,204.0,40.752450980392155,8313.5,76.0,485.0,30347.75
2023-02-22,,,,,,,-0.22848332907990931,89.0,3273.0,0.014593415762134328,375.0,241.0,82.96377593360997,19994.27,3697.42,0.14388796615261523,112.0,50.91294642857143,5702.25,18.0,353.0,25696.52
2023-02-23,,,,,,,-0.044332296143099546,140.0,4301.56,0.010855756577027972,400.0,395.0,69.25443037974684,27355.5,4172.63,0.11324263891501056,149.0,63.700067114093955,9491.31,0.0,544.0,36846.81
2023-02-24,,,,,,,0.04659177479231407,138.0,4235.5,0.009551319083381474,372.0,348.0,76.41379310344827,26592.0,4670.79,0.11992528403620258,166.0,74.43072289156626,12355.5,69.0,514.0,38947.5
2023-02-25,,,,,,,-0.06114594615136148,156.0,4172.0,0.009385571416862052,371.0,357.0,82.97621848739496,29622.51,4743.09,0.11999086234933756,193.0,51.32772020725388,9906.25,45.0,550.0,39528.759999999995
2023-02-26,,,,,,,0.12995784055792384,123.0,3457.0,0.010428896492759156,353.0,265.0,69.79532075471697,18495.76,4490.37,0.1326617675472831,283.0,54.24911660777385,15352.5,84.0,671.0,33848.259999999995
2023-02-27,,,,,,,-0.19636477060057847,94.0,3238.25,0.01072650929748421,228.0,194.0,82.10438144329896,15928.25,3734.99,0.17571668842548485,111.0,47.9954954954955,5327.5,0.0,399.0,21255.75
2023-02-28,,,,,,,-0.1389605130674604,112.0,3235.0,0.013017705350329858,307.25,219.0,81.74639269406393,17902.46,4205.42,0.1781771145138623,106.0,53.77367924528302,5700.01,64.0,437.0,23602.47
2023-03-01,,,,,,,-0.15950374442946608,88.0,2519.75,0.006500316948078142,141.0,200.0,80.68125,16136.25,3827.96,0.17647484584798018,101.0,55.0,5555.0,39.0,389.0,21691.25
2023-03-02,,,,,,,-0.09560044884790048,105.0,2769.0,0.014323140937893771,474.0,217.0,124.77903225806452,27077.05,4195.28,0.1267712799871877,127.0,47.37204724409449,6016.25,323.0,449.0,33093.3
2023-03-03,,,,,,,-0.22498703335905582,141.0,4518.05,0.011114617490303048,367.7,276.0,87.67572463768116,24198.5,4959.81,0.14992219465482723,184.0,48.28293478260869,8884.06,51.0,460.0,33082.56
2023-03-04,,,,,,,-0.09506525837482467,163.0,4705.01,0.01573151406875446,589.0,372.0,82.96443548387097,30862.77,5409.93,0.14449302191167543,105.0,62.647619047619045,6578.0,163.0,640.0,37440.770000000004
2023-03-05,,,,,,,-0.12437424844414763,129.0,4559.0,0.01432720443796401,446.0,243.0,69.75518518518518,16950.51,4618.62,0.14836751785037966,262.0,54.11862595419847,14179.08,112.0,604.0,31129.589999999997
2023-03-13,,,,,,,0.019531661115595348,91.0,3131.5,0.008124895740317342,207.0,202.0,94.28341584158416,19045.25,3669.13,0.14401593578584818,117.0,54.97435897435897,6432.0,265.0,319.0,25477.25
2023-03-14,,,,,,,-0.24750485516115872,51.0,2719.01,0.012752352353568077,294.0,227.0,67.95488986784142,15425.76,4017.53,0.17426176241847063,164.0,46.51713414634147,7628.81,30.0,391.0,23054.57
2023-03-15,,,,,,,0.04030540783481068,118.0,3126.0,0.010288696228865166,314.0,241.0,76.1208713692946,18345.13,3773.08,0.12363080881275981,171.0,71.19181286549707,12173.8,59.0,412.0,30518.93
2023-03-16,,,,,,,0.15328424265547508,104.0,4143.5,0.016441938124057566,497.0,296.0,81.17314189189189,24027.25,4325.6,0.14310110170910142,111.0,55.85882882882883,6200.33,234.0,407.0,30227.58
2023-03-17,,,,,,,-0.22402459623401375,125.0,3957.5,0.015333887354904431,429.0,272.0,79.27849264705883,21563.75,4600.1,0.16442287930372,104.0,61.66826923076923,6413.5,93.25,376.0,27977.25
2023-03-18,,,,,,,-0.13996243461974361,143.0,4284.0,0.009721928349499427,392.85,349.0,81.17406876790831,28329.75,5100.69,0.1262276764999573,164.0,73.65182926829269,12078.9,33.0,656.0,40408.65
2023-03-19,,,,,,,-0.09719647790525177,125.0,3989.0,0.013657515929999954,453.0,208.0,80.21274038461539,16684.25,4738.57,0.14286334494573924,315.0,52.331111111111106,16484.3,37.5,523.0,33168.55
2023-03-20,,,,,,,0.6104466723709464,121.0,3797.0,0.006583129365689026,311.0,307.0,126.16358306188926,38732.22,3805.46,0.08055252564615743,164.0,51.888719512195124,8509.75,10.0,592.0,47241.97
2023-03-21,,,,,,,0.413312608270322,89.0,2677.5,0.007510766730856193,241.0,251.0,87.9003984063745,22063.0,3927.05,0.12238654145397848,132.0,75.94143939393939,10024.27,97.0,472.0,32087.27
2023-03-22,,,,,,,-0.12534517533608608,90.0,2703.0,0.009382329945269743,237.0,228.0,83.63486842105263,19068.75,3411.98,0.13507308914203145,148.0,41.83445945945946,6191.5,0.0,466.0,25260.25
2023-03-23,,,,,,,-0.1398325880387929,89.0,2699.5,0.017474984180255004,483.0,238.0,84.66600840336133,20150.51,4119.78,0.1490540172383664,132.0,56.734848484848484,7489.0,136.0,459.0,27639.51
2023-03-24,,,,,,,0.06516074166828477,145.0,4607.0,0.014609916487102161,581.0,365.0,84.94523287671232,31005.01,5145.53,0.12939029876399102,159.0,55.11006289308176,8762.5,0.0,669.0,39767.509999999995
2023-03-25,,,,,,,-0.06600585990945006,156.0,4148.5,0.01502502841417551,659.0,331.0,96.96268882175227,32094.65,5152.52,0.1174761144227733,276.0,42.6286231884058,11765.5,119.0,763.0,43860.15
2023-03-26,,,,,,,-0.10978599482105893,116.0,3941.01,0.01755263899641004,496.32,169.0,79.32840236686391,13406.5,2944.34,0.1041282581856261,330.0,45.059363636363635,14869.59,124.0,499.0,28276.09
2023-03-27,,,0.0,19657.0,19657.0,,-0.2758652446998582,87.0,2587.5,0.016787912702853944,330.0,216.0,73.81828703703704,15944.75,3650.4,,71.0,52.28521126760563,3712.25,87.0,287.0,
2023-03-28,,,0.0,18745.5,18745.5,,-0.399899735188211,81.0,2436.5,0.008428689552159184,158.0,168.0,81.03422619047619,13613.75,3589.65,,119.0,43.12394957983193,5131.75,0.0,287.0,
2023-03-29,,,0.0,19347.25,19347.25,,-0.11787301949162202,66.0,3055.0,0.018297174016979157,354.0,186.0,83.48790322580645,15528.75,3585.63,,88.0,43.39204545454545,3818.5,32.0,274.0,
2023-03-30,,,0.0,23233.75,23233.75,,-0.07620202582479299,66.0,3050.5,0.018550599881637705,431.0,246.0,72.38414634146342,17806.5,4202.12,,103.0,52.69174757281554,5427.25,45.0,349.0,
2023-03-31,,,451.0,32836.46,33287.46,,0.015162612019225887,125.0,3792.0,0.01248612061105247,410.0,354.0,78.31483050847457,27723.45,4932.02,,97.0,52.71144329896907,5113.01,27.0,451.0,
2023-04-01,,,0.0,32278.8,32278.8,,-0.17787201528175742,140.0,4129.0,0.00712541978016531,230.0,301.0,82.4078073089701,24804.75,4705.93,,154.0,48.53279220779221,7474.05,294.0,455.0,
2023-04-02,,,0.0,25801.0,25801.0,,-0.10472568539614348,124.0,3941.0,0.015454827332273944,398.75,207.0,77.29227053140097,15999.5,4048.47,,211.0,46.45260663507109,9801.5,16.0,418.0,
2023-04-03,,,0.0,12872.25,12872.25,,-0.4088812127802617,59.0,1858.0,0.00458350327254365,59.0,131.0,68.95610687022901,9033.25,3410.62,,90.0,42.65555555555556,3839.0,0.0,221.0,
2023-04-04,,,0.0,14602.75,14602.75,,-0.28081603143325584,107.0,2654.0,0.006505623940696102,95.0,137.0,78.50729927007299,10755.5,3065.59,,79.0,48.699367088607595,3847.25,78.0,216.0,
2023-04-05,,,0.0,19714.75,19714.75,,0.02392849704711176,77.0,2625.5,0.00623898350220013,123.0,210.0,76.06190476190476,15973.0,4021.52,,79.0,47.36392405063291,3741.75,25.0,289.0,
2023-04-06,,,0.0,22773.15,22773.15,,-0.024850664782580707,83.0,3305.0,0.01203171278457306,274.0,220.0,80.77681818181819,17770.9,4597.95,,88.0,56.84375,5002.25,310.5,308.0,
2023-04-07,,,883.0,36692.83,37575.83,,0.07906980710872487,113.0,4378.05,0.014415622888722402,528.95,374.0,76.09767379679144,28460.53,5207.06,,143.0,57.56853146853146,8232.3,66.0,517.0,
2023-04-08,,,14900.0,34918.25,49818.25,,-0.14869872615347107,135.0,3921.5,0.01320226529107272,461.0,366.0,79.09494535519126,28948.75,5575.91,,142.0,42.0387323943662,5969.5,26.5,508.0,
2023-04-09,,,0.0,36070.009999999995,36070.01,,0.3219236971340612,130.0,4865.0,0.01311338699379346,473.0,213.0,78.15023474178403,16646.0,5579.75,,328.0,59.21954268292682,19424.01,92.0,541.0,
2023-04-10,,,4399.49,17385.75,21785.239999999998,,-0.07393301817697583,97.0,3133.5,0.015760033360654558,274.0,120.0,88.73333333333333,10648.0,3612.02,,117.0,57.587606837606835,6737.75,67.5,237.0,
2023-04-11,,,4267.5,17332.5,21600.0,,-0.217639526029256,77.0,2620.0,0.02013558344151161,349.0,176.0,71.15625,12523.5,3094.96,,109.0,44.11926605504587,4809.0,0.0,285.0,
2023-04-12,,,0.0,16629.5,16629.5,,-0.18194921340797515,70.0,2014.5,0.013890976878438918,231.0,159.0,77.60377358490567,12339.0,3360.78,,94.0,45.6436170212766,4290.5,91.0,253.0,
2023-04-13,,,0.0,19123.75,19123.75,,-0.2362262116340835,110.0,2905.0,0.017517484802928297,335.0,192.0,82.54427083333333,15848.5,3893.49,,65.0,50.38846153846154,3275.25,0.0,257.0,
2023-04-14,,,0.0,28093.75,28093.75,,-0.28750588065224203,132.0,2659.5,0.007546162402669633,212.0,297.0,78.4006734006734,23285.0,4056.0,,98.0,49.06887755102041,4808.75,0.0,395.0,
2023-04-15,,,2025.0,31507.01,33532.009999999995,,-0.19461143663155622,148.0,4158.0,0.01161646249517171,366.0,310.0,81.3476129032258,25217.76,4556.61,,98.0,64.17602040816327,6289.25,159.0,408.0,
2023-04-16,,,0.0,21750.010000000002,21750.01,,-0.3676679313302225,115.0,3593.5,0.00758620340864211,165.0,167.0,73.35934131736528,12251.01,4017.93,,176.0,53.97159090909091,9499.0,46.0,343.0,
2023-04-17,,,0.0,13926.76,13926.76,,-0.36075460439497387,66.0,1838.0,0.016802185145719465,234.0,124.0,83.0383870967742,10296.76,3215.03,,88.0,41.25,3630.0,0.0,212.0,
2023-04-18,,,0.0,12983.75,12983.75,,-0.4179290625491737,78.0,1252.0,0.029960527582555116,389.0,126.0,79.3670634920635,10000.25,3389.88,,48.0,62.15625,2983.5,27.0,174.0,
2023-04-19,,,0.0,14370.599999999999,14370.599999999999,,-0.3454860462722501,75.0,2637.5,0.014473995518628312,208.0,120.0,89.74833333333332,10769.8,3598.71,,76.0,47.37894736842105,3600.8,39.0,196.0,
2023-04-20,,,0.0,22997.25,22997.25,,0.12701232510842664,85.0,3049.0,0.007740055876246073,178.0,228.0,88.28618421052632,20129.25,3882.53,,56.0,51.214285714285715,2868.0,43.0,284.0,
2023-04-21,,,6626.5,27297.96,33924.46,,-0.23830097730776478,128.0,3658.5,0.00710675816068307,194.0,247.0,82.5544939271255,20390.96,4211.59,,140.0,49.33571428571429,6907.0,27.0,387.0,
2023-04-22,,,0.0,31067.36,31067.36,,-0.0017274442565048558,120.0,3759.58,0.007371080130400523,229.0,290.0,84.16675862068966,24408.36,4788.16,,131.0,50.83206106870229,6659.0,115.0,421.0,
2023-04-23,,,0.0,22463.67,22463.67,,-0.17886939357385684,93.0,3858.5,0.01598136012503745,359.0,144.0,68.17534722222223,9817.25,3710.99,,240.0,52.693416666666664,12646.42,16.0,384.0,
2023-04-24,,,4700.0,9415.25,14115.25,,-0.49714316538770487,64.0,2256.5,0.012001805581370649,113.0,46.0,104.7336956521739,4817.75,3095.82,,71.0,64.75352112676056,4597.5,48.0,117.0,
2023-04-25,,,72351.0,13994.5,86345.5,,-0.1562213040177841,69.0,2218.0,0.009003537103862232,126.0,132.0,87.17045454545455,11506.5,2098.77,,53.0,46.943396226415096,2488.0,30.0,185.0,
2023-04-26,,,0.0,22690.0,22690.0,,0.24458340189786626,70.0,2345.5,0.01987659762009696,451.0,143.0,131.43706293706293,18795.5,3384.7,,70.0,55.635714285714286,3894.5,73.0,213.0,
2023-04-27,,,0.0,14202.75,14202.75,,-0.22377043356597487,63.0,2297.5,0.009434792557779303,134.0,81.0,84.67283950617283,6858.5,3285.18,,122.0,60.19877049180328,7344.25,22.5,203.0,
2023-04-28,,,0.0,23531.37,23531.37,,0.04812124181550929,112.0,3415.0,0.010980236169844764,258.38,222.0,82.33558558558559,18278.5,4343.5,,109.0,48.19146788990825,5252.87,13.5,331.0,
2023-04-29,,,0.0,23155.0,23155.0,,-0.06201895811391072,92.0,3592.0,0.011271863528395595,261.0,235.0,81.51446808510639,19155.9,3731.0,,57.0,70.15964912280701,3999.1,252.0,292.0,
2023-04-30,,,0.0,21201.02,21201.02,,-0.06134106656631171,99.0,2993.77,0.012310728446084197,261.0,137.0,77.6114598540146,10632.77,3494.11,,188.0,56.214095744680854,10568.25,177.0,325.0,
2023-05-01,,,0.0,11981.5,11981.5,,0.11696350746025157,61.0,2161.25,0.015607394733547553,187.0,113.0,74.95796460176992,8470.25,2601.24,,59.0,59.51271186440678,3511.25,273.0,172.0,
2023-05-02,,,0.0,12752.25,12752.25,,-0.040949856167860565,65.0,2172.5,0.004469799447156384,57.0,102.0,101.34803921568627,10337.5,3087.84,,51.0,47.34803921568628,2414.75,30.0,153.0,
